Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,50,48,0.005,16,68.96058,5.727681,8.304250653638595,22.293466329574585,19.04783993959427,19.903702,45.249134
Volumrate_St_Fergus_hourly,50,48,0.005,16,10.589184,1.9502535,3.2541026116846785,157001387.5,74.01399612426758,4.8751874,3.6160324
Volumrate_Belgia_hourly,50,48,0.005,16,1.9601797,1.0464708,1.4000641722958007,2.4319197982549667,2.46873889118433,0.70383817,43.221252
Volumrate_Frankrike_hourly,50,48,0.005,16,28.912788,3.344276,5.377061315543396,132110950.0,10.47646775841713,7.754323,47.560345
Volumrate_Tyskland_hourly,50,48,0.005,16,50.053116,3.7332647,7.074822672316711,3.3416274935007095,3.112681955099106,9.212003,131.0256
Volumrate_Easington_hourly,10,24,0.01,16,199.99928,10.67407,14.142110268164156,42.299103,29.568708,19.843294,45.19174
Volumrate_St_Fergus_hourly,10,24,0.01,16,27.22045,2.9615061,5.217322057112426,143868980.0,69.65373,5.1213937,3.7500505
Volumrate_Belgia_hourly,10,24,0.01,16,5.4932375,1.6828414,2.3437656656377497,3.9191744,3.8698573,0.70135456,43.217545
Volumrate_Frankrike_hourly,10,24,0.01,16,63.650414,4.0253897,7.978120926207097,246592720.0,10.924519,7.751767,47.57233
Volumrate_Tyskland_hourly,10,24,0.01,16,242.63577,11.988567,15.576770291208577,10.187804,9.053468,9.203986,131.01375
Volumrate_Easington_hourly,10,24,0.01,32,558.1947,18.235039,23.62614446219352,89.419685,44.098217,19.843294,45.19174
Volumrate_St_Fergus_hourly,10,24,0.01,32,34.07788,4.181707,5.837626303505132,179278940.0,87.65911,5.1213937,3.7500505
Volumrate_Belgia_hourly,10,24,0.01,32,6.7266793,2.096023,2.5935842621946485,4.8544307,5.0296474,0.70135456,43.217545
Volumrate_Frankrike_hourly,10,24,0.01,32,77.117485,6.2471437,8.78165616762503,226769020.0,15.70859,7.751767,47.57233
Volumrate_Tyskland_hourly,10,24,0.01,32,146.16968,8.042077,12.090065249384512,7.1053677,6.246912,9.203986,131.01375
Volumrate_Easington_hourly,10,24,0.005,16,203.23647,10.642923,14.256102744232084,41.864483,29.508644,19.843294,45.19174
Volumrate_St_Fergus_hourly,10,24,0.005,16,31.67111,3.0495405,5.627709139001254,145424350.0,66.26109,5.1213937,3.7500505
Volumrate_Belgia_hourly,10,24,0.005,16,2.634803,1.0393318,1.6232076443625194,2.4187472,2.4700978,0.70135456,43.217545
Volumrate_Frankrike_hourly,10,24,0.005,16,80.99756,6.6563077,8.999864365297402,231313740.0,16.98719,7.751767,47.57233
Volumrate_Tyskland_hourly,10,24,0.005,16,165.20271,8.598649,12.853120749946113,7.5300975,6.6881537,9.203986,131.01375
Volumrate_Easington_hourly,10,24,0.005,32,202.9613,10.737773,14.246448810525994,44.708138,29.712036,19.843294,45.19174
Volumrate_St_Fergus_hourly,10,24,0.005,32,31.245947,3.323102,5.589807410291993,198142220.0,72.77812,5.1213937,3.7500505
Volumrate_Belgia_hourly,10,24,0.005,32,2.212246,0.9958065,1.4873620746684748,2.3224971,2.3381486,0.70135456,43.217545
Volumrate_Frankrike_hourly,10,24,0.005,32,65.07297,4.35108,8.066781733088908,239846180.0,11.709282,7.751767,47.57233
Volumrate_Tyskland_hourly,10,24,0.005,32,178.95717,9.844647,13.377487379141927,8.499614,7.5436883,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,16,197.23033,10.320574,14.043871667773757,41.493404,28.773418,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,27.338614,3.64749,5.228634000399324,210271500.0,81.022484,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,9.598914,2.654325,3.098211443143179,6.145373,6.406085,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,73.35215,6.317171,8.564586969806477,229223380.0,16.111069,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,150.7198,8.172825,12.276799373470485,7.1653447,6.413307,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,209.15195,10.769138,14.462086537615669,48.105396,30.049007,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,38.368885,4.7612605,6.1942622676379475,253939740.0,95.80354,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,7.074652,2.2915173,2.659821835194381,5.3051844,5.4914656,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,84.90443,6.178892,9.214359802759335,240752050.0,15.870821,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,157.07263,8.393372,12.532862076793851,7.3824153,6.560597,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,16,200.28854,10.280762,14.152333507276172,41.925617,28.735384,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,16,25.719812,2.7615945,5.071470436982599,145518770.0,64.896706,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,16,7.249831,2.121264,2.6925510579459764,4.9047103,5.0985966,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,16,71.9551,5.183586,8.482635263477004,238734260.0,13.634963,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,16,180.08913,9.888455,13.419729005718187,8.526991,7.6053925,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,32,215.03117,11.153214,14.663941274638775,39.376396,30.545177,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,32,31.501913,3.1455193,5.612656507455156,160712660.0,66.92868,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,32,4.4987135,1.527158,2.121017089357643,3.5423007,3.6442497,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,32,65.48774,4.215668,8.092449540342422,249507740.0,11.336938,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,32,156.42352,8.755529,12.50693899198436,7.6387815,6.7837462,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,219.36232,10.816551,14.810885184427333,45.58191,29.633757,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,28.865068,2.6569977,5.372622119195519,107816270.0,64.20557,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,4.9818373,1.2729101,2.232002973260574,2.9556062,3.0773628,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,73.17917,4.060713,8.554482374823849,254411170.0,11.238979,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,146.89378,8.02638,12.119974569665397,7.080458,6.2844143,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,226.13524,11.723014,15.037793676183382,43.23953,32.36012,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,28.517303,3.0861652,5.340159498254418,156974690.0,72.932495,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,2.2182252,1.0671668,1.4893707532738105,2.4904695,2.4750438,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,68.68374,3.7398024,8.287565306439285,255109730.0,10.416292,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,190.6075,9.908081,13.806067440402618,8.576855,7.553868,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,241.70578,12.05703,15.546889722040769,44.374416,32.8441,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,30.97677,3.8878813,5.565677892314734,191340500.0,86.116844,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,4.4733562,1.4676005,2.1150310274197497,3.4202714,3.416067,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,69.23719,3.9464762,8.320888789461257,250495550.0,10.800185,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,216.37401,10.823439,14.709656970123774,9.324802,8.22352,9.203986,131.01375
