Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,472.40625,17.259323,21.73490855743359,0.48094872,-0.1997428,86.97081,42.02432,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,31.741201,4.6787667,5.633933031263048,1.5023619,-0.21017182,367.10562,99.95626,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,1.08864,0.82254916,1.0433791135508301,0.024142489,-1.2131407,1.9119259,1.9250399,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,63.62053,4.7513995,7.976247813026165,0.16766569,-0.058755755,1170.5502,12.277683,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,174.40948,9.638457,13.206418320774231,0.10080177,-1.058819,8.369541,7.3866696,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,444.93417,16.792551,21.093462816332085,0.46675482,-0.12997353,84.796616,41.35192,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,30.457186,4.6908193,5.5188029268347005,1.471661,-0.16121721,382.14334,100.08759,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,1.0054682,0.7641665,1.0027303971262584,0.023201928,-1.0440576,1.7788334,1.7879761,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,63.014633,4.546972,7.93817568328586,0.1668654,-0.048672676,1176.9565,11.828666,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,193.33942,10.4871025,13.904654490633927,0.10613126,-1.2822776,9.030876,7.986567,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,379.0552,14.0956335,19.469340160848496,0.43081635,0.037335515,78.78929,36.826405,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,21.333038,4.002011,4.618770218367453,1.2316555,0.186652,337.6401,93.29271,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,1.6850255,1.1754878,1.2980853028855635,0.030036073,-2.4255574,2.7231247,2.756136,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,59.355602,4.5592117,7.704258709597199,0.16194832,0.012219965,1136.4042,11.940536,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,166.67384,9.714912,12.91022243742489,0.09854097,-0.96750355,8.385838,7.438679,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,464.59265,16.903984,21.55441141314667,0.47695467,-0.17989898,87.74565,41.30557,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,28.320452,4.344926,5.321696321329337,1.4190999,-0.07975161,342.20242,96.2842,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,1.9066584,1.2686229,1.3808180224149744,0.031950403,-2.876124,2.93787,2.9766061,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,66.86145,5.3888483,8.176885115697328,0.17188321,-0.11269033,1146.8364,13.7196045,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,154.71053,8.724827,12.438268589827738,0.09493865,-0.8262824,7.657852,6.73905,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,376.73004,14.27219,19.409534809054705,0.42949298,0.043240607,78.73728,37.163174,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,20.32943,3.9441907,4.508816876572483,1.2023349,0.2249158,334.18875,92.79902,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,1.6318669,1.1523715,1.2774454712101349,0.029558491,-2.3174891,2.67,2.7012353,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,59.533867,4.6078625,7.715819261901112,0.16219133,0.009253323,1134.1628,12.040894,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,166.18063,9.6819725,12.891106761830882,0.098395064,-0.9616815,8.363556,7.417863,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,384.24902,14.635466,19.60227087450584,0.43375784,0.024145067,79.50365,37.746357,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,20.51398,3.9655938,4.529236234231829,1.2077801,0.21787953,336.33582,93.14974,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,1.4941134,1.0940586,1.2223393331158015,0.028283406,-2.0374444,2.5359082,2.5633345,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,59.41717,4.629192,7.708253464843478,0.16203229,0.011195362,1131.3751,12.09287,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,164.53337,9.610275,12.827056208330877,0.09790618,-0.9422363,8.306171,7.3667154,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,16,574.0499,18.07302,23.95933903006952,0.5301708,-0.45788133,95.921844,42.73842,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,34.650906,5.100935,5.886501984126979,1.5697126,-0.32110786,410.20984,104.41854,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,5.9773474,2.2939515,2.444861422241024,0.05657104,-11.151594,5.3393154,5.1787353,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,61.152122,3.1768477,7.819982256857019,0.1643809,-0.017677188,1234.5697,8.8065,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,292.12573,14.373748,17.091686061412286,0.13045718,-2.448402,12.0366535,10.687337,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.01,32,491.81732,17.62596,22.176954745350944,0.4907303,-0.24903989,88.3758,42.645454,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,31.430456,4.547948,5.606287199341381,1.4949898,-0.19832432,355.1492,98.10692,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,2.08879,1.2201902,1.4452646608425639,0.033441618,-3.2463865,2.8287005,2.8659806,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,71.20189,5.7890687,8.43812117939094,0.17737456,-0.18492281,1147.884,14.630699,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,134.2021,7.637818,11.584563119131115,0.08842249,-0.58419025,6.8047976,5.9568725,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,16,127.18508,8.598843,11.27763634286607,0.24955085,0.6769954,33.537262,24.48354,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,17.216015,2.4707046,4.149218584512094,1.1064434,0.34361857,172.74797,63.797123,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,3.804163,1.4709904,1.9504263582934827,0.045130428,-6.733639,3.4171793,3.5121572,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,61.86435,5.3199625,7.865389333353714,0.16533539,-0.02952993,887.81836,14.350285,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,143.77666,8.829472,11.990690434853708,0.09152237,-0.6972133,7.5565085,6.777318,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,32,98.26131,6.8371663,9.912684135121793,0.21934727,0.75045145,25.535074,20.334867,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,16.106598,1.991142,4.01330261759447,1.0701996,0.3859164,121.92847,51.665844,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,1.5714828,1.0413628,1.2535879616506853,0.029006459,-2.1947317,2.4151707,2.4442863,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,63.6311,4.6837816,7.976910410737213,0.16767962,-0.05893171,1180.8245,12.19011,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,186.91374,10.139156,13.671640064945745,0.104352705,-1.2064254,8.75279,7.7311,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,16,164.70491,10.488673,12.833741086616962,0.28398424,0.5817085,46.479877,29.254374,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,50.42463,5.4238877,7.101030151423509,1.8935826,-0.92250025,439.215,98.79763,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,3.783571,1.7470442,1.9451403560842477,0.04500812,-6.6917763,4.046788,4.139789,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,81.60097,6.9105854,9.033325379240281,0.18988612,-0.35798144,1033.5829,17.657988,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,137.594,8.109678,11.730046638467599,0.089532934,-0.6242299,7.097329,6.2731185,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,32,297.81894,14.707574,17.257431419796642,0.38187137,0.24364656,60.510384,37.99905,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,33.88206,4.5043354,5.820829924043363,1.5522003,-0.29179478,349.99353,93.80004,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,7.777596,2.5133908,2.788834164459531,0.064530134,-14.811394,5.822462,6.026008,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,76.74288,6.818761,8.760301465982911,0.18414699,-0.27713454,982.92096,17.484566,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,107.65041,6.6088715,10.375471724851048,0.079193756,-0.27076066,5.9022675,5.1896095,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,16,252.13498,13.194731,15.878758743933572,0.3513642,0.35966742,50.573086,35.108395,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,26.03089,3.206994,5.102047580247405,1.3605276,0.0075407624,227.92969,72.41894,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,3.1753259,1.4183092,1.781944407245612,0.041231968,-5.45525,3.2938766,3.3612485,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,81.5496,7.646042,9.03048164240688,0.18982634,-0.3571266,903.0909,19.495058,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,122.32863,7.543385,11.060227327683599,0.084420346,-0.4440298,6.587974,5.8504333,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,32,273.61996,13.858082,16.541461984951916,0.36602846,0.30510324,53.31419,36.02967,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,36.231144,4.7150726,6.019231176106797,1.6051067,-0.38135636,375.88416,94.98992,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,32,5.292182,1.7201427,2.3004742921165113,0.053230103,-9.758694,3.9906468,4.1249404,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,32,103.50138,8.768435,10.173562842997047,0.21385463,-0.72244227,903.8039,22.40006,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,32,120.16244,7.30072,10.96186286353578,0.08366955,-0.41845894,6.4118443,5.7157397,9.203987,131.01376
Volumrate_Easington_hourly,500,48,0.01,16,445.4619,17.22979,21.105968683348795,0.46643916,-0.124457,84.08527,42.235695,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,26.405237,3.8664157,5.138602650320024,1.4210612,-0.110982776,294.3499,89.54404,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,16,3.5666118,1.7418352,1.8885475283442525,0.043694884,-6.1996317,4.028651,4.115092,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,16,70.37616,5.775146,8.389049986021584,0.17638749,-0.17040932,1139.076,14.612977,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,16,155.3036,8.703271,12.462086668209965,0.09511184,-0.83009374,7.637538,6.7191167,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.01,32,328.48996,15.913455,18.12429197835868,0.40054452,0.17080939,68.636665,40.598904,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,32,31.745226,4.261752,5.63429018656051,1.5581416,-0.33565927,335.83545,92.97705,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,32,10.595144,2.9877882,3.255018321277253,0.075310595,-20.387564,6.9194927,7.204579,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,32,78.816765,6.885578,8.877880649769008,0.18666561,-0.31078303,1042.9806,17.378368,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,32,101.70328,6.030899,10.08480429100588,0.0769682,-0.19846892,5.4638424,4.783981,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.001,16,471.28494,17.586237,21.709098153238727,0.47976828,-0.18964076,77.9352,44.316414,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,16,26.563154,3.7890363,5.153945500350296,1.425304,-0.117627025,289.9243,86.9337,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.001,16,3.1582282,1.6087863,1.7771404443517698,0.041117284,-5.3752604,3.7249875,3.7967842,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,16,80.841324,6.601603,8.99118033700465,0.18904784,-0.34445298,1124.9875,16.57006,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,16,172.0101,9.480566,13.115262152102007,0.10009694,-1.0269628,8.256273,7.276471,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.001,32,496.33328,18.041258,22.278538607159653,0.49235278,-0.25286913,79.208084,45.216553,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,32,26.682383,3.1467066,5.165499257924462,1.4284992,-0.12264347,197.11491,74.69365,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.001,32,3.729947,1.4844699,1.9313070936930061,0.0446842,-6.529343,3.4473114,3.525981,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,32,80.5981,6.1753464,8.977644387860483,0.18876322,-0.34040797,1146.938,15.632744,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,32,187.62218,9.818246,13.697524488900301,0.10454082,-1.2109349,8.520191,7.487414,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.0001,16,347.20496,16.147406,18.633436506846703,0.41179654,0.12356806,58.607338,41.513176,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.0001,16,36.67607,4.470132,6.056077209464241,1.6747851,-0.54312134,360.82864,90.84523,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.0001,16,6.569757,2.2716217,2.5631537185098154,0.05930309,-12.261839,5.2639728,5.4254456,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.0001,16,73.96239,6.5646586,8.60013878288955,0.18082583,-0.23005104,992.17474,16.81916,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.0001,16,100.6359,5.8759823,10.031744733832952,0.07656324,-0.18589103,5.3597426,4.6591034,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.0001,32,274.0491,14.206459,16.55442849461144,0.36585072,0.3082317,54.995358,36.98189,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.0001,32,35.961777,3.9354181,5.996813881837458,1.6583961,-0.51306796,299.25415,82.434044,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.0001,32,5.486876,2.060566,2.342408164879634,0.05419575,-10.075914,4.776833,4.9138975,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.0001,32,80.87328,6.577409,8.992957432693123,0.1890852,-0.34498453,1118.5248,16.64513,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.0001,32,170.28378,9.1828985,13.049282852286725,0.09959338,-1.0066199,8.014811,7.038707,9.212004,131.0256
Volumrate_Easington_hourly,500,48,5e-05,16,315.35422,15.115404,17.758215493942426,0.39245424,0.20396721,62.19309,38.764927,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,5e-05,16,28.60584,3.838099,5.348442827869005,1.4790916,-0.20357168,305.9619,84.823494,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,5e-05,16,3.9730387,1.6245786,1.993248271892109,0.046117317,-7.020053,3.766105,3.8588908,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,5e-05,16,69.70765,6.243947,8.349110685034486,0.17554773,-0.1592915,1017.5007,16.129894,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,5e-05,16,100.9165,6.2565403,10.045720296566865,0.0766699,-0.18919742,5.6162124,4.9426374,9.212004,131.0256
Volumrate_Easington_hourly,500,48,5e-05,32,313.31787,15.04543,17.700787301522777,0.3911851,0.20910752,59.169716,38.653366,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,5e-05,32,35.072384,4.3748956,5.9221941778883975,1.6377603,-0.47564733,340.94812,91.59153,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,5e-05,32,2.4882228,1.2342876,1.5774101677902677,0.03649617,-4.0227747,2.8707573,2.9071016,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,5e-05,32,70.47287,6.0828853,8.394812080865591,0.17650864,-0.1720177,1056.0239,15.615684,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,5e-05,32,189.81989,9.952343,13.77751375444446,0.1051513,-1.2368329,8.605394,7.5731106,9.212004,131.0256
Volumrate_Easington_hourly,500,72,0.01,16,452.56473,17.28639,21.273568759923737,0.46958157,-0.13633573,85.083565,42.266064,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.01,16,27.739845,4.499843,5.266862944474529,1.5137523,-0.30872822,372.9695,100.10581,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.01,16,1.3626261,1.0018579,1.1673157566591092,0.027004197,-1.7402339,2.323026,2.3454638,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.01,16,68.98108,5.64085,8.305484880581176,0.17467985,-0.14720356,1143.638,14.302344,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.01,16,137.36507,7.8358192,11.72028440475402,0.08944029,-0.6175747,6.9598837,6.101032,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.01,32,489.64206,17.437086,22.127857088434293,0.48843867,-0.22943258,88.79376,42.22917,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.01,32,28.031582,4.570554,5.294485988144847,1.5216916,-0.32249188,380.44815,100.96421,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.01,32,1.3521657,0.8753009,1.1628265988551891,0.02690035,-1.719198,2.0509665,2.0159996,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.01,32,63.05068,4.5866942,7.94044572131652,0.1670024,-0.04857683,1178.9298,11.920783,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.01,32,189.2256,10.290778,13.75592967400928,0.10497479,-1.2282705,8.879157,7.8468246,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.001,16,152.8124,9.053017,12.361730994827406,0.27286634,0.6163064,37.11603,25.947765,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.001,16,19.567825,2.3130314,4.4235534717444995,1.2713763,0.07681662,145.46153,62.725986,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.001,16,1.5327227,0.8915759,1.2380317893992505,0.028640112,-2.0822973,2.0783718,2.1023414,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.001,16,71.60517,5.5216475,8.461983881077373,0.1779713,-0.19084394,1151.6542,14.221263,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.001,16,185.00359,10.051408,13.601602325293506,0.103797086,-1.1785533,8.673461,7.6622276,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.001,32,305.93234,14.825972,17.490921717545273,0.3860854,0.23184055,56.104393,38.528572,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.001,32,31.96784,4.1025076,5.65401098289543,1.6250228,-0.5081992,334.61047,87.69281,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.001,32,2.5215595,1.2208738,1.5879418997093115,0.03673479,-4.0708423,2.8450418,2.8771527,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.001,32,76.2202,6.102131,8.730418064729829,0.183617,-0.26759517,1151.6416,15.424003,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.001,32,235.29694,11.796009,15.339391644884625,0.11705857,-1.7707944,10.06746,8.877117,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.0001,16,351.5659,16.418083,18.750090331813656,0.4138796,0.11726022,61.715866,41.90279,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,16,31.730356,4.005795,5.6329704611715,1.6189755,-0.49699497,318.74982,85.49072,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,16,6.8033586,2.2373955,2.608324856079106,0.0603399,-12.681519,5.182245,5.3514166,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,16,83.75339,7.0282116,9.151687683218428,0.19247708,-0.39287734,1099.6608,17.703835,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,16,153.82983,8.37346,12.402815566812844,0.09464885,-0.8114594,7.372263,6.4567127,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.0001,32,402.11737,17.717712,20.052864399019626,0.44263637,-0.009668469,64.18611,45.067074,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,32,38.215706,4.492558,6.181885300746208,1.7767395,-0.80296504,363.39365,92.288864,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,32,5.6809688,2.2077377,2.3834782905334153,0.0551384,-10.424397,5.108228,5.253385,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,32,96.125084,8.1052685,9.804340055472364,0.20620358,-0.5986273,1064.047,20.217258,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,32,107.98155,6.0921383,10.391417233660837,0.0792994,-0.27156222,5.5596647,4.8246017,9.215226,131.04031
Volumrate_Easington_hourly,500,72,5e-05,16,147.27748,9.440862,12.1357933848225,0.26787913,0.6302039,40.3866,26.816416,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,5e-05,16,24.57821,3.6979506,4.957641660173563,1.4248788,-0.15956652,301.1026,85.40128,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,5e-05,16,3.7620118,1.5133903,1.9395906182578107,0.044869684,-6.5653853,3.5173826,3.5910945,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,5e-05,16,62.712067,5.580578,7.919095065118907,0.16655335,-0.042945504,982.43427,14.7450285,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,5e-05,16,163.65724,9.461932,12.792859016704947,0.09762537,-0.92718434,8.070054,7.2069616,9.215226,131.04031
Volumrate_Easington_hourly,500,72,5e-05,32,345.3197,15.569155,18.582779720710178,0.41018647,0.13294363,67.52011,39.76854,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,5e-05,32,40.838856,5.071451,6.390528596556642,1.8367058,-0.9267217,421.55313,99.55691,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,5e-05,32,6.6326838,2.2763696,2.575399727026328,0.059578225,-12.338292,5.272219,5.4418325,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,5e-05,32,113.077484,8.71006,10.633789735125449,0.22364844,-0.88055754,1122.3832,21.72228,7.7543383,47.546898
