Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,52.22545,4.489871,7.226717692590353,0.15991236,0.8673661,18.762276,17.820253,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,7.28926,1.377011,2.699862942925714,0.7199538,0.7220881,120.15693,42.294838,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,0.6267727,0.55980426,0.791689776200416,0.018318713,-0.27419186,1.3155823,1.2988884,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,13.798505,1.7740166,3.7146338755531128,0.07808392,0.770369,343.80865,7.108631,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,33.317764,2.7398067,5.772154215041951,0.04405762,0.60670006,2.4858656,2.3282204,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.01,32,36.994495,4.0184813,6.082310037464853,0.13458899,0.9060472,17.183462,16.98582,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,7.7973404,1.6753628,2.7923718221373037,0.7446224,0.70271695,114.63104,69.86317,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,0.41682673,0.33808145,0.6456211931203184,0.014938868,0.1526159,0.7967638,0.79294556,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,15.95259,1.5275499,3.9940693520153725,0.08395782,0.73452127,303.65262,6.7985997,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,32.43461,2.5076752,5.695139020205974,0.043469775,0.6171253,2.3009748,2.1530926,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,16,40.9415,4.203965,6.398554650656009,0.14158683,0.8960233,17.67066,17.770102,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,7.899906,1.6161399,2.810677170798394,0.74950385,0.6988065,115.58586,65.06256,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,0.5193224,0.4489444,0.72064026762644,0.016674714,-0.05575168,1.0513678,1.051802,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,15.305164,1.7662086,3.912181531723471,0.08223649,0.7452955,289.99823,7.308036,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,32.661076,2.618314,5.714986928422586,0.04362127,0.61445194,2.358371,2.2383413,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,32,41.89467,4.5375285,6.472609101367204,0.14322549,0.89360255,18.944836,18.534746,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,7.85107,1.601149,2.8019760754181284,0.7471835,0.70066845,109.74817,61.3103,5.1213937,3.7500505
