Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,50,24,0.01,8,665.0829,21.564667,25.789200951991273,83.74928,51.79131,19.843294,45.19174
Volumrate_St_Fergus_hourly,50,24,0.01,8,30.571215,3.6589515,5.529124223229509,89968440.0,104.50408,5.1213937,3.7500505
Volumrate_Belgia_hourly,50,24,0.01,8,48.206795,5.6150413,6.943111315452859,13.02011,12.554452,0.70135456,43.217545
Volumrate_Frankrike_hourly,50,24,0.01,8,167.93463,9.053794,12.9589595009652,287682240.0,19.579693,7.751767,47.57233
Volumrate_Tyskland_hourly,50,24,0.01,8,977.2779,24.725817,31.261444193549444,19.76513,16.903502,9.203986,131.01375
Volumrate_Easington_hourly,50,24,0.01,16,788.8199,23.548065,28.0859375,92.04149,56.113834,19.843294,45.19174
Volumrate_St_Fergus_hourly,50,24,0.01,16,26.65112,3.1116672,5.16247220158886,113040050.0,87.84589,5.1213937,3.7500505
Volumrate_Belgia_hourly,50,24,0.01,16,70.25063,6.5626755,8.38156508295116,15.1993885,14.729767,0.70135456,43.217545
Volumrate_Frankrike_hourly,50,24,0.01,16,187.15001,10.411967,13.68027810957341,256413000.0,23.540476,7.751767,47.57233
Volumrate_Tyskland_hourly,50,24,0.01,16,1219.3396,26.830805,34.91904350937143,21.41756,18.342573,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,16,526.03986,18.569609,22.935558767054953,67.07663,45.91951,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,30.401173,3.4172204,5.513725839932509,73925690.0,112.0929,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,62.53309,6.133604,7.907786585643421,14.2482195,13.098629,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,199.0375,10.559073,14.10806528562707,263325950.0,22.73211,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,1487.3317,30.715172,38.56593918263968,24.404808,20.335741,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,555.5573,20.435131,23.57026329958405,66.8484,52.29953,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,44.440933,5.8378987,6.666403320197411,287798500.0,105.955246,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,47.101833,5.5125813,6.863077541708665,12.751523,13.402072,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,122.880035,8.398588,11.085126765192657,220175340.0,20.81541,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,807.25726,23.065317,28.412273108352203,18.180902,16.75951,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0075,16,509.8771,19.057295,22.58045849208759,59.16032,49.4706,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0075,16,30.25953,3.9553258,5.500866214858305,137516830.0,94.34596,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0075,16,58.201656,5.8975916,7.629001005475929,13.666407,13.155098,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0075,16,172.60281,10.164079,13.137839004977307,205472260.0,23.004936,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0075,16,1179.5841,26.300745,34.34507397641345,20.727211,17.749033,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0075,32,736.47205,22.90207,27.13801845932082,85.75359,55.29573,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0075,32,34.917885,4.511797,5.909135708939181,177334140.0,96.4142,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0075,32,63.16192,6.257587,7.947447303388474,14.513379,13.718721,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0075,32,209.74348,10.78971,14.48252341607188,265736080.0,22.770231,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0075,32,1647.001,31.342869,40.58325980700047,24.93774,20.521114,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,16,482.5826,18.33205,21.96776299680931,69.150536,45.963802,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,16,29.693869,3.7178683,5.4492080743062985,108268500.0,100.35949,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,16,56.055973,5.967061,7.487053696413464,13.840434,12.966249,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,16,170.94812,9.649707,13.074713003243609,249121800.0,20.903706,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,16,1407.0198,29.398012,37.51026226768649,23.385979,19.559952,9.203986,131.01375
