Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,1213.9218,30.000181,34.84137989416733,0.77096796,-2.0829268,65.628716,87.88591,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,26.359375,2.6267343,5.134138194478212,1.3690851,-0.0049831867,152.65515,62.83759,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,930.85077,30.048695,30.509847083244594,0.70595974,-1891.3646,69.49924,108.95218,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,1206.6799,34.03999,34.73729885354682,0.73019964,-19.081244,498.5723,112.18755,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,3896.0657,60.77816,62.418472216389,0.47642684,-44.991154,46.250404,60.951717,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.01,32,870.071,25.051672,29.49696567253518,0.65270704,-1.2096686,62.246906,68.51069,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,27.8238,3.2008874,5.274826929227231,1.4066015,-0.06081605,214.16177,76.22735,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,629.6686,23.58398,25.093197865189733,0.5806253,-1279.079,54.544353,79.75904,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,857.2321,27.770916,29.27852654590423,0.6154528,-13.265827,676.68976,86.02693,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,2589.049,47.0191,50.88269914485301,0.38837674,-29.56246,36.0131,45.30775,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,16,871.3668,25.25193,29.51892310517209,0.6531929,-1.2129598,67.501686,69.36076,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,27.950397,2.963585,5.286813548013121,1.409798,-0.06564283,159.11848,72.15844,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,534.1151,20.62138,23.110930580673024,0.5347581,-1084.8245,47.68295,68.44398,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,732.1116,24.3198,27.05756035317347,0.5687668,-11.183605,971.2511,73.61065,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,2244.3406,41.53428,47.3744717772333,0.3615992,-25.493347,32.08734,39.108498,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,32,927.60547,26.871637,30.45661617366578,0.6739421,-1.3557858,76.02456,72.994064,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,28.800165,3.4241552,5.366578535379092,1.4310683,-0.098041296,237.85262,79.68305,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,524.78766,20.45147,22.908244338914457,0.53006816,-1065.8623,47.25373,68.07092,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,701.0136,23.714695,26.476661625662775,0.5565559,-10.66608,870.5696,71.773224,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,2103.2935,39.96083,45.86167743368367,0.3500524,-23.828352,30.820332,38.01536,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,16,998.84546,27.552193,31.60451643332603,0.6993428,-1.53671,76.501305,72.14504,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,32.331684,3.678426,5.686095682676192,1.5162717,-0.23268473,261.64197,81.82208,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,553.311,21.178715,23.5225630857076,0.54428273,-1123.8485,48.987312,70.28621,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,752.06067,24.648024,27.42372456369325,0.57646376,-11.515593,1262.8706,73.77613,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,2412.181,43.943974,49.11395838458885,0.37487635,-27.474619,34.04871,40.84743,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,32,854.5535,24.956408,29.23274752451489,0.6468604,-1.17026,66.96636,67.682365,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,26.01036,3.1315842,5.10003536436498,1.3599911,0.008323431,208.24077,73.70714,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,566.06995,21.734863,23.79222449223827,0.5505224,-1149.7867,50.246857,72.721825,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,724.4448,24.445145,26.915512705849576,0.5657808,-11.056017,927.35626,74.04743,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,2239.9202,41.498013,47.32779485688748,0.36124292,-25.441164,31.90161,39.454945,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,16,735.53,23.19131,27.12065687436193,0.60012424,-0.86798286,63.549088,62.895508,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,27.733738,3.2148573,5.266283124325604,1.4043232,-0.057382464,250.52995,72.8509,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,495.91956,19.875185,22.269251349429386,0.51528263,-1007.1752,45.955734,64.958015,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,664.83,23.066206,25.784297878550888,0.542002,-10.063923,1170.2151,68.2418,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,2000.0355,39.284912,44.721756701419245,0.3413516,-22.609444,30.56459,36.576096,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,32,842.9608,25.27987,29.033787479929096,0.64245784,-1.1408186,69.5882,68.15753,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,28.501593,3.5794942,5.338688287970033,1.4236311,-0.08665788,253.17445,83.02947,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,32,556.75775,21.408474,23.595714684341388,0.5459754,-1130.8556,49.495964,71.425095,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,32,689.0703,23.582306,26.250148809102015,0.55179447,-10.467323,815.5726,71.387184,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,32,2126.076,40.946503,46.109390884443215,0.3519431,-24.097288,31.589355,38.776043,9.203987,131.01376
Volumrate_Easington_hourly,500,48,0.01,16,834.547,24.596792,28.888527083780378,0.6384327,-1.1066048,60.978317,66.54107,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,25.135098,2.7574637,5.013491548178984,1.3864621,-0.057542562,178.39706,67.041664,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,16,580.556,22.27614,24.094730342409676,0.55747414,-1170.9216,51.52623,74.537834,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,16,809.011,26.618576,28.443118435363676,0.5980427,-12.454471,983.69055,81.3781,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,16,2432.2773,44.875416,49.31812388716748,0.37640065,-27.661896,34.600456,42.734596,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.01,32,1159.0499,28.766327,34.04482231937497,0.75238615,-1.9257312,66.12225,82.52178,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,32,27.149397,2.917712,5.210508314585277,1.4409463,-0.14229286,190.48325,72.28534,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,32,714.4937,25.238844,26.730015214715202,0.6184461,-1441.2908,58.35688,80.46032,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,32,936.26013,29.099197,30.59836812374048,0.6433588,-14.570722,688.56323,87.94628,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,32,3276.231,53.03241,57.2383696224067,0.43684873,-37.60702,40.553272,48.11456,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.001,16,847.15234,24.46716,29.105881600631857,0.6432362,-1.1384239,66.358376,67.123604,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,16,31.118738,3.128103,5.578417174650752,1.5426902,-0.3093003,132.76643,99.73098,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.001,16,476.21924,19.83456,21.82244803593882,0.5049009,-960.30536,45.888718,64.20738,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,16,810.8647,26.706831,28.475685857562656,0.59872746,-12.485299,814.7717,82.41421,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,16,1999.0111,39.765774,44.71030203877444,0.3412333,-22.556297,30.538029,37.158222,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.001,32,879.575,24.30412,29.657629915538283,0.6554298,-1.2202668,61.095745,67.228714,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,32,29.446161,2.9117017,5.426431725373646,1.5006591,-0.23892772,119.74873,87.38701,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.001,32,573.3036,21.34594,23.94375887088716,0.5539811,-1156.2817,49.3747,72.27226,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,32,804.72125,25.763052,28.36760921264614,0.5964551,-12.383129,889.63727,79.70983,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,32,2449.5095,44.33771,49.49251985385645,0.37773165,-27.86496,33.983654,42.087524,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.0001,16,890.82245,25.509491,29.846648869353302,0.65960705,-1.2486582,71.604416,67.53065,19.903702,45.249134
