Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.001,16,40.740067,4.483286,6.382794570430754,0.14123808,0.8965348,17.386698,18.448488,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,10.910763,2.7966154,3.3031443787496233,0.88082665,0.58401394,214840980.0,74.9576,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,0.7496045,0.61429113,0.8657970450295585,0.020033462,-0.5239017,1.4335356,1.4392148,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,10.859088,1.980495,3.2953130267139663,0.06926953,0.819286,143957340.0,7.57492,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,26.025505,3.0285127,5.101519878028308,0.038938813,0.69278157,2.676223,2.5229025,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,40.402973,4.5524845,6.356333312142215,0.14065255,0.8973909,19.07494,18.8741,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,6.4978323,1.5092152,2.549084600063091,0.67974675,0.75226223,134574640.0,51.26725,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,1.5735741,1.0256234,1.2544218055192238,0.029025754,-2.198983,2.3936658,2.3557038,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,14.359902,2.7499568,3.7894461840613296,0.07965652,0.7610264,153809140.0,9.216583,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,27.211277,2.8657951,5.216442945921736,0.039815996,0.67878413,2.5420873,2.423001,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,64,39.903362,4.5730104,6.316910817335474,0.13978021,0.89865977,17.89011,17.663488,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,64,7.9984183,2.0652049,2.8281475087318624,0.7541625,0.6950506,148223340.0,60.42261,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,64,0.8755942,0.6648438,0.935731905357387,0.021651667,-0.7800312,1.5562121,1.540701,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,64,13.137025,2.3914244,3.624503397633332,0.07618932,0.78137714,163288960.0,8.427048,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,64,24.350023,2.4758823,4.934574274408414,0.03766455,0.7125598,2.242669,2.118152,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,34.359062,4.0473237,5.861660361606106,0.12970646,0.9127403,16.753258,17.638813,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,5.6463165,1.5418038,2.3761979143834617,0.6336442,0.78472733,135400000.0,48.2247,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,0.6290763,0.53017294,0.7931433048646027,0.018352346,-0.27887487,1.2387613,1.2457974,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,6.8729258,1.4648298,2.6216265482257035,0.055108223,0.8856226,161738980.0,6.507448,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,16,17.301197,2.0786798,4.159470765854949,0.03174835,0.7957678,1.8533707,1.792214,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,32,34.147255,4.04304,5.8435652596550725,0.12930606,0.9132782,16.922915,16.484121,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,32,5.2826414,1.3868684,2.2983997500059985,0.61289835,0.79859287,130495380.0,44.296627,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,32,0.53895164,0.47977608,0.7341332544986079,0.016986927,-0.09565687,1.1250273,1.1229454,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,32,10.962858,2.1598651,3.3110207187623035,0.06959972,0.81755906,155375250.0,7.8959613,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,32,21.48476,2.236403,4.635165615641347,0.03537923,0.74638283,2.0590906,1.9284163,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,64,35.286667,4.019273,5.940258148440789,0.13144566,0.9103845,16.878437,17.638695,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,64,5.0441227,1.308929,2.245912441731167,0.5989019,0.8076867,123357900.0,41.44616,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,64,0.70463467,0.6110152,0.8394252000284904,0.01942325,-0.4324807,1.4255657,1.4302176,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,64,9.621933,2.048579,3.1019240776328547,0.065204374,0.8398744,152493920.0,7.753332,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,64,18.603714,2.174519,4.313202289396802,0.032921754,0.7803922,1.9368205,1.871304,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,16,36.68651,4.342973,6.056938845548214,0.13402757,0.9068294,18.265612,17.53648,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,16,6.8827343,1.8635931,2.623496578748685,0.69958967,0.7375874,166834830.0,55.15766,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,16,1.2881148,0.87906003,1.1349514466038058,0.02626136,-1.6186612,2.05121,2.0271893,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,16,10.130028,2.0927868,3.1827704552788743,0.066903815,0.8314188,133883976.0,7.8722587,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,16,23.041008,2.4907544,4.8001049983938335,0.036638178,0.7280121,2.2496905,2.1168022,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,32,34.607105,4.051045,5.882780401742611,0.1301738,0.9121103,16.825022,16.887154,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,32,5.0260453,1.3107713,2.2418843240493502,0.59782773,0.80837595,87773910.0,49.236946,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,32,0.48663306,0.4428105,0.6975908989964469,0.016141381,0.0107037425,1.0367385,1.0378804,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,32,8.522452,1.6528027,2.91932395503328,0.061366007,0.85817164,168003140.0,6.8189597,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,32,19.523327,2.2629814,4.418520892083605,0.033725627,0.7695366,2.0535908,1.9340256,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,64,39.70388,4.4507565,6.301101515612853,0.13943039,0.89916635,17.714085,17.919714,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,64,6.424521,1.6540173,2.534663877004379,0.6759013,0.75505733,164802960.0,51.8194,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,64,1.317769,0.85730803,1.1479412226234167,0.026561927,-1.6789465,1.9993236,1.995381,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,64,24.522491,4.0674653,4.952018927172848,0.10409451,0.59190327,121415176.0,12.145716,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,64,38.31729,3.7900186,6.190096223788902,0.047247685,0.547683,3.3796735,3.1074467,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,35.58336,4.1208215,5.965178854372134,0.13199711,0.909631,16.753353,17.816214,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,5.4182425,1.5026569,2.3277118495485665,0.6207148,0.79342294,129000490.0,48.481064,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,0.72705483,0.6261298,0.852675104811818,0.019729836,-0.47805953,1.4569695,1.4684294,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,7.3731885,1.6369358,2.715361577329249,0.057078592,0.8772974,121781180.0,6.901007,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,18.54243,2.2187617,4.306092297859574,0.032867484,0.78111565,1.9877317,1.904241,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,34.86371,4.0302734,5.9045498131605045,0.13065551,0.9114587,17.140337,17.51859,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,5.120956,1.4442555,2.2629529257280803,0.603446,0.80475736,119408290.0,47.31172,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,0.48341113,0.46547908,0.6952777382379915,0.016087858,0.017253697,1.091743,1.0853446,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,9.585485,2.0341322,3.096043516873434,0.06508076,0.8404809,139265000.0,7.680399,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,20.40255,2.2447686,4.516918168801859,0.03447667,0.75915784,2.0503662,1.9324929,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,64,35.663136,4.233889,5.971861981707586,0.13214499,0.9094284,17.530432,17.14515,19.843294,45.19174
