Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,54.748093,5.1588345,7.399195405675349,0.16372894,0.8609594,20.956877,21.14859,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,8.1139765,2.0709648,2.84850425286266,0.7595909,0.6906448,123.55889,110.5376,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,0.6635561,0.5670376,0.8145895278838221,0.018848583,-0.3489704,1.3281177,1.3174465,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,15.032232,2.742385,3.8771422832475335,0.08149994,0.74983764,205.03485,9.438464,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,29.17262,3.206814,5.401168463704445,0.041225962,0.6556314,2.764361,2.6828415,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.01,32,46.142395,5.102681,6.792819371919973,0.1503111,0.8828148,20.630741,19.260956,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,6.2432604,1.5982662,2.498651713145703,0.66629815,0.76196814,159.52911,48.186047,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,1.0370742,0.81971854,1.018368404979054,0.023563772,-1.1083107,1.9145099,1.8865399,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,10.332839,1.8070704,3.2144733646658197,0.06757023,0.82804364,321.00095,7.1243525,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,28.875704,2.995324,5.373611803214437,0.04101563,0.6591364,2.6462665,2.5042734,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,16,32.80987,3.8820899,5.727990194962277,0.1267486,0.9166747,16.327282,16.999054,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,4.354166,1.2487491,2.0866638519138125,0.55643624,0.8339921,96.6406,46.586426,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,0.41256422,0.4156306,0.6423116206673214,0.014862289,0.16128135,0.9776919,0.9684505,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,6.19033,1.3345461,2.4880373848746595,0.052300096,0.8969822,230.62291,6.2795033,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,21.638292,2.284473,4.651697788186811,0.03550541,0.7445705,2.1193373,1.9692981,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,32,31.592913,3.7708912,5.620757304309643,0.12437577,0.9197653,15.677097,16.724815,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,4.5835133,1.2699695,2.1409141178215663,0.57090276,0.825248,94.64371,49.622295,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,0.45666286,0.48637825,0.6757683504670559,0.015636437,0.07163137,1.1410638,1.1293627,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,5.9465175,1.2856165,2.438548229479741,0.051259805,0.90103966,175.76274,6.4352403,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,23.029978,2.7234905,4.7989559071179135,0.0366294,0.7281424,2.4238632,2.313843,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,16,30.871784,3.6891315,5.556238314741825,0.122948095,0.9215967,15.751369,16.46991,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,4.5521464,1.3456459,2.1335759735204967,0.5689459,0.8264439,83.69015,61.763977,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,0.36051548,0.37461996,0.6004294090674875,0.013893187,0.2670933,0.8820908,0.87413305,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,4.8397074,1.2106858,2.1999334932158185,0.046243973,0.91945887,113.109055,5.901961,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,16.673532,1.9492267,4.083323705752694,0.031167133,0.8031771,1.763522,1.7078733,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,32,30.819405,3.7410169,5.551522728229687,0.12284375,0.92172974,15.365502,16.411087,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,4.3903556,1.3126824,2.0953175384665723,0.55874383,0.8326124,89.672554,58.198303,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,0.33957517,0.340521,0.5827307881609157,0.013483662,0.30966377,0.8013752,0.7973381,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,5.366885,1.2136704,2.3166538768753737,0.04869751,0.9106857,169.81865,6.1725674,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,18.441715,2.076092,4.29438182285629,0.032778095,0.7823045,1.8791251,1.8112193,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,16,31.031881,3.7072394,5.570626655269357,0.12326649,0.92119014,15.499335,16.37361,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,4.3413258,1.2758168,2.08358483385911,0.5556151,0.8344817,89.55314,53.283447,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,0.3623601,0.36361164,0.6019635288099427,0.013928684,0.26334333,0.8556531,0.84990394,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,5.422125,1.2531643,2.328545653980376,0.048947476,0.90976644,162.56477,6.084181,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,18.747746,2.0246696,4.329866685466888,0.033048946,0.778692,1.8537343,1.777328,9.203987,131.01376
Volumrate_Easington_hourly,500,48,0.01,16,55.24721,5.3338885,7.432846793544101,0.16426496,0.86054224,22.162937,20.021986,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,6.7678847,1.6098106,2.6015158525930078,0.7194393,0.7152457,121.82441,68.26813,4.875188,3.6160321
