Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,403.55276,17.239943,20.08862277241967,0.44451982,-0.024879575,77.151146,42.858513,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,28.426064,4.0430293,5.331609844840267,1.4217434,-0.08377814,301.82697,91.917786,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,6.0619016,1.7615402,2.462092924600218,0.056969754,-11.323488,4.0813055,4.2353196,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,89.38193,7.6353517,9.454201578675715,0.19873321,-0.48747003,1083.9213,18.989363,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,131.98282,7.5438147,11.488377544436622,0.08768833,-0.5579928,6.6999407,5.883525,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.01,32,104.89758,7.7696824,10.241952109232521,0.22663328,0.7335977,30.39684,21.714787,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,9.195998,1.7499124,3.0324904273275943,0.80865324,0.6493914,85.04469,73.540344,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,2.5592442,1.3380157,1.5997637812764074,0.037016533,-4.202792,3.1194317,3.0537636,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,21.02524,2.67439,4.585328771686716,0.09638646,0.65010357,440.33118,9.003808,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,56.261074,5.10151,7.500738234744771,0.057251528,0.33586544,4.329798,4.146639,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,16,58.933937,5.5275083,7.676844213135623,0.16987273,0.8503289,25.246754,19.583399,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,6.3267846,1.4739306,2.515310042668357,0.6707403,0.75878364,98.14362,58.043743,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,1.079699,0.7465974,1.0390856747444979,0.024043143,-1.1949644,1.7400935,1.7522444,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,14.562327,1.9378515,3.816061763775415,0.08021599,0.75765765,382.98224,7.478237,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,35.725998,3.365098,5.9771228801827965,0.0456221,0.578272,2.9671478,2.8089924,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.001,32,37.77587,4.2106366,6.146207877777603,0.13600291,0.9040628,17.319962,15.911942,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,5.8142724,1.5488378,2.4112802416386696,0.64299935,0.7783238,110.33232,67.38436,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,0.8850906,0.66002,0.9407925326677054,0.021768766,-0.7993368,1.5470179,1.5320401,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,12.853683,2.102096,3.585203407295001,0.075363204,0.78609246,331.13846,7.737243,7.751767,47.57233
