Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,347.52423,14.413036,18.64200179586493,62.642967,37.952576,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,90.94735,8.040276,9.536631981383147,285414940.0,122.7537,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,8.349548,2.4151146,2.889558502581969,5.592049,5.807049,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,89.78629,5.4665284,9.475562939993864,275324060.0,13.573517,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,155.38676,8.293149,12.465422757627083,7.2463384,6.4590273,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,428.49493,16.289818,20.700119180382302,78.428314,40.359367,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,228.26642,13.701931,15.108488291587324,686320960.0,139.99463,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,3.1605046,1.3133882,1.7777808018830858,3.054971,3.0664456,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,78.569786,5.04288,8.863959954319364,239284580.0,12.646397,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,196.17975,10.012197,14.006418119389277,8.571972,7.6188207,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0075,16,220.89572,11.802934,14.86256106583071,42.61066,31.796053,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0075,16,73.20079,6.47239,8.555746046095187,198248800.0,133.46928,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0075,16,3.2436414,1.2059164,1.8010112094307913,2.8064315,2.8507872,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0075,16,93.9932,6.7825627,9.69500913921553,222491730.0,17.715403,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0075,16,124.66235,6.943605,11.165229666944832,5.980364,5.6985145,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0075,32,236.99373,12.49083,15.394600632614518,40.93609,33.62706,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0075,32,149.1624,10.649436,12.213205938327258,572421000.0,129.33223,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0075,32,7.498235,2.261138,2.738290566334678,5.2639623,5.1203175,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0075,32,71.24292,4.285141,8.440552110014783,246290030.0,11.698239,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0075,32,124.35763,6.406174,11.151575129489661,5.7750945,5.151401,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,16,238.87262,12.262587,15.455504509038398,51.009453,33.26974,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,16,113.9896,8.885032,10.676591269466764,277145660.0,121.52176,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,16,5.9692903,1.7821395,2.4432131009185922,4.135203,4.253383,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,16,77.10381,4.753602,8.780877699375315,248094260.0,12.584758,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,16,127.58852,7.155138,11.295508675369673,6.2552185,5.7381573,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,32,227.70674,11.407368,15.089954981145828,50.3582,30.86662,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,32,237.3709,11.984924,15.406845731224227,606252860.0,125.78006,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,32,4.75597,1.6956545,2.1808186539051575,3.9329197,4.032829,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,32,73.704926,5.0530467,8.585157280860344,227247550.0,13.464181,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,32,140.99966,7.2608595,11.87432795178913,6.4593472,5.74103,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0025,16,210.95927,10.994814,14.52443714200286,45.864067,29.893852,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0025,16,49.29599,6.172574,7.021110310359351,401960160.0,109.485565,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0025,16,12.162817,2.547678,3.4875230467113436,5.903386,6.204142,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0025,16,75.310844,5.000092,8.67818209196988,234296030.0,13.338216,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0025,16,109.19565,6.0618215,10.449672157219066,5.3903613,4.9435897,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0025,32,230.65175,11.596304,15.18722320429994,51.782757,31.404854,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0025,32,63.571728,6.1157513,7.973188054516559,358922750.0,99.32225,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0025,32,13.105155,2.9808865,3.6201042790436166,6.9268203,6.599296,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0025,32,84.324875,5.8056717,9.182857664035183,250408620.0,15.157244,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0025,32,113.32561,6.2401805,10.645450075022882,5.6187024,4.9771214,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,252.46808,13.236405,15.88924411711524,45.34795,36.288845,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,27.672667,3.6760952,5.260481589140163,214490450.0,81.45415,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,2.8543437,1.2441648,1.68948029071819,2.8889575,2.9343717,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,68.03509,3.900897,8.248338474229172,260587500.0,10.688826,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,116.57579,6.204449,10.797026924356233,5.6494,4.922522,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,227.8083,11.763561,15.093319841340666,46.548325,32.2709,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,30.244715,3.6060925,5.499519500550796,163859300.0,81.39261,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,2.2621956,1.0893387,1.5040597019926447,2.5381467,2.5392165,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,80.26039,5.808001,8.958816397010912,242738620.0,15.19223,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,106.11842,6.0231123,10.301379687299855,5.4586587,4.8090024,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,232.1138,11.106039,15.23528142335507,50.85946,30.698195,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,32.933334,3.82307,5.738757213072002,188594420.0,82.90853,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,7.948382,2.3298974,2.819287481046825,5.41901,5.233326,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,83.76729,5.7716355,9.152447115826883,239393000.0,15.264994,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,101.99371,5.8985376,10.099193699444834,5.329775,4.721244,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,32,230.85875,11.732094,15.194036639078124,49.172997,32.495533,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,32,30.483368,3.998414,5.5211745054763375,236908530.0,84.79963,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,32,2.5767345,1.1536617,1.6052210261663904,2.6924498,2.670509,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,32,67.024475,3.5821562,8.186847689902155,262771150.0,9.871647,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,32,94.48977,5.0928926,9.72058480658101,4.7328663,4.103611,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,208.7598,10.792959,14.448522282315867,46.574165,29.66764,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,29.237848,3.758864,5.407203369752274,211249570.0,82.62194,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,3.2638125,1.4274992,1.8066024858727694,3.3236165,3.2945256,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,70.15218,4.4402056,8.375690033227999,248632140.0,11.964017,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,16,100.305984,5.5515494,10.015287539410455,5.081789,4.4757204,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,32,216.12613,11.426589,14.701228831304906,45.100246,31.18382,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,32,28.39684,3.181112,5.328868467305766,173856900.0,85.567245,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,32,4.700863,1.7076492,2.1681473392095576,3.9522123,4.070598,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,32,66.176636,3.818746,8.134902319154637,249256370.0,10.57411,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,32,106.543846,5.975485,10.322007853628628,5.3873215,4.8096786,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,16,214.61066,10.834243,14.64959578753903,49.302464,29.765446,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,16,25.253744,2.9951952,5.025310351149092,180412140.0,70.28786,5.1213937,3.7500505
