Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.01,16,5993.13,76.974434,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,516.2506,22.566628,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,23.506002,3.7452843,4.848298920873945,0.101914264,0.60881937,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.070126,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,5993.13,76.97443,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,516.2506,22.56663,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,23.506,3.7452843,4.84829872417107,0.10191426,0.6088195,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.07012,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,5993.13,76.974434,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,516.2506,22.566628,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,23.506002,3.7452843,4.848298920873945,0.101914264,0.60881937,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.070126,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,5993.13,76.97443,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,516.2506,22.56663,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,23.506,3.7452843,4.84829872417107,0.10191426,0.6088195,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.07012,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,5993.13,76.974434,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,516.2506,22.566628,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,23.506002,3.7452843,4.848298920873945,0.101914264,0.60881937,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.070126,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,5993.13,76.97443,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,516.2506,22.56663,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,23.506,3.7452843,4.84829872417107,0.10191426,0.6088195,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.07012,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,16,5993.13,76.974434,77.4153078067413,1.7130412,-14.220405,255.21259,98.00321,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,516.2506,22.566628,22.72114896636089,6.0588913,-18.682682,1821.5895,159.11841,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,79.55459,8.896111,8.919337885620832,0.20638235,-160.72977,20.610548,18.671577,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,23.506002,3.7452843,4.848298920873945,0.101914264,0.60881937,444.1898,10.739899,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,5793.2456,75.83448,76.11337336808,0.5809571,-67.386444,58.790283,45.070126,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,16,540.07697,18.010946,23.239556048514164,0.5142434,-0.37160206,92.84157,42.866196,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,27.42067,4.6721106,5.236474916932579,1.3963745,-0.045446277,397.16208,99.44637,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,1.1693654,0.7119951,1.0813720016887698,0.025021598,-1.3772509,1.6747959,1.6424361,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,77.49375,4.5702376,8.803053534193626,0.18504567,-0.2896303,1261.3749,11.415051,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,251.48386,13.032995,15.858242531919226,0.12104259,-1.9686444,10.957708,9.763941,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,732.8287,20.759624,27.070808527201514,0.5990212,-0.86112237,108.19534,46.278934,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,58.682613,7.2841864,7.66045777827949,2.042761,-1.2373459,665.4181,118.93792,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,0.8775254,0.64401084,0.9367632514112029,0.02167553,-0.78395736,1.5129532,1.4953036,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,60.82262,3.762173,7.798885842980759,0.16393743,-0.01219368,1196.2794,10.088381,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,351.36868,16.230234,18.74483083042704,0.1430753,-3.147736,13.4731245,11.948411,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,492.45834,16.741688,22.191402468205098,0.49104998,-0.25066793,89.69425,40.832314,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,24.646467,4.666316,4.964520843834006,1.3238544,0.060323477,429.49957,100.53702,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,0.53181076,0.48572418,0.7292535639255024,0.016874017,-0.08113992,1.1381024,1.1334649,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,57.787357,3.8646297,7.601799611297463,0.15979455,0.038318276,1177.3478,10.350869,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,153.96725,8.716619,12.40835422764324,0.09471032,-0.81750846,7.649506,6.7341485,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,520.5858,17.351856,22.8163497393796,0.50487876,-0.3221016,91.82788,41.756138,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,25.98391,4.5607266,5.09744147655798,1.3592994,0.009331882,414.51926,98.27014,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,0.8314311,0.71949035,0.9118284327831396,0.02109857,-0.6902503,1.6757913,1.679537,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,61.034576,4.206184,7.812462890536865,0.16422284,-0.015721083,1188.5535,11.058918,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,151.49144,8.552352,12.308185886609607,0.09394576,-0.78828263,7.526804,6.615783,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,522.2586,17.167366,22.852978054446893,0.50568926,-0.32634985,92.05135,41.427967,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,34.150536,5.0959992,5.84384595822786,1.5583379,-0.30203068,439.58588,103.56138,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,0.9486361,0.7985139,0.9739795247320759,0.022536669,-0.92852116,1.8554277,1.8649956,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,54.9632,3.7149358,7.41371699051687,0.15584095,0.085317194,1137.4756,10.097371,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,167.17587,9.128443,12.929650915733742,0.09868927,-0.9734298,8.003453,7.0231357,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,516.04083,17.280281,22.71653214114186,0.50267,-0.31055892,91.546646,41.661186,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,30.19627,4.8329544,5.495113282637008,1.4653438,-0.15126944,423.3158,101.041115,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,0.62099206,0.572297,0.788030497173817,0.018234042,-0.2624401,1.3373436,1.3359214,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,63.942413,4.5065465,7.996400023140296,0.1680893,-0.064112544,1207.2887,11.681626,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,180.45969,10.08798,13.433528437432098,0.10253526,-1.1302388,8.702828,7.708846,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,16,565.4655,18.217619,23.779518816341064,0.5261917,-0.43607986,95.42029,43.053455,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,36.174904,5.5042305,6.014557662008812,1.6038605,-0.37921226,490.8444,107.11448,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,0.68937147,0.5317313,0.8302839674693578,0.019211734,-0.40145147,1.2523518,1.2368554,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,59.56575,3.5526361,7.717885080905929,0.16223475,0.0087227225,1232.6847,9.632342,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,187.4221,10.574122,13.690219278077175,0.10449452,-1.2124267,9.052224,8.0551605,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,32,569.46356,17.814943,23.863435670743616,0.52804863,-0.4462335,95.75789,42.257248,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,38.92708,5.689847,6.239156853860168,1.6637527,-0.48414218,502.4381,108.5335,5.1213937,3.7500505
