Target,Rank,Feature,p-value,F-statistic,Best Lag
Volumrate_Belgia_hourly,1,Nominasjoner Belgia [MSM3],0.0,248.66293662831345,7
Volumrate_Belgia_hourly,2,wind_speed_10m (km/h)_stfergus_x,1.4384972249572668e-05,18.82212030175168,1
Volumrate_Belgia_hourly,3,rain (mm)_stfergus_y,3.490945563299896e-54,10.12469076689686,35
Volumrate_Belgia_hourly,4,is_day ()_easington_x,0.0025921619752629,9.075534793710478,1
Volumrate_Belgia_hourly,5,BE,5.679179265495183e-37,8.636748877222356,29
Volumrate_Belgia_hourly,6,DE_rel,4.882189783740543e-31,8.392528330321742,25
Volumrate_Belgia_hourly,7,DE_rel_pct,5.135183989302799e-31,8.387970516493567,25
Volumrate_Belgia_hourly,8,temperature_2m (°C)_stfergus_y,0.0038643377096212,8.347476915362162,1
Volumrate_Belgia_hourly,9,DK_rel_pct,1.075563773656253e-28,7.904132074636928,25
Volumrate_Belgia_hourly,10,DK_rel,1.096410341497485e-28,7.90238787738706,25
Volumrate_Belgia_hourly,11,UK,2.4503906335368079e-32,7.802577463639535,29
Volumrate_Belgia_hourly,12,Nominasjoner Frankrike [MSM3],9.205794881732174e-05,7.095326198712402,3
Volumrate_Belgia_hourly,13,wind_speed_10m (km/h)_nybro,0.0009136761759553,6.999277383108291,2
Volumrate_Belgia_hourly,14,Nominasjoner St. Fergus [MSM3],6.993350500149535e-09,6.750490839913665,8
Volumrate_Belgia_hourly,15,apparent_temperature (°C)_stfergus_y,0.0118518241003449,6.333491112375971,1
Volumrate_Belgia_hourly,16,Nominasjoner Easington [MSM3],1.9014082953853224e-35,5.959623193277923,48
Volumrate_Belgia_hourly,17,Nominasjoner Tyskland [MSM3],6.2963154819191096e-30,5.458636274842258,46
Volumrate_Belgia_hourly,18,FR,3.051190470887215e-19,5.369220154303585,29
Volumrate_Belgia_hourly,19,rain (mm)_germany_x,5.735230147820055e-20,5.187671621095836,32
Volumrate_Belgia_hourly,20,direct_radiation (W/m²)_nybro,0.0080241944958139,4.825884958427426,2
Volumrate_Belgia_hourly,21,DE_is_best,7.783370523514909e-06,4.742128384894815,8
Volumrate_Belgia_hourly,22,BE_rel,4.6508858484004016e-15,4.5511799837210765,29
Volumrate_Belgia_hourly,23,BE_rel_pct,4.93812957408306e-15,4.5459902316309035,29
Volumrate_Belgia_hourly,24,dew_point_2m (°C)_easington_x,0.0345247298454059,4.468837732006772,1
Volumrate_Belgia_hourly,25,Mean,8.431608263241179e-13,4.443184724168692,25
