Target,Rank,Feature,p-value
Volumrate_Belgia_hourly,1,Nominasjoner Belgia [MSM3],0.0
Volumrate_Belgia_hourly,2,rain (mm)_stfergus_y,2.882562465465936e-64
Volumrate_Belgia_hourly,3,DE_rel,3.6266355221469965e-47
Volumrate_Belgia_hourly,4,DE_rel_pct,3.782247092443074e-47
Volumrate_Belgia_hourly,5,DK_rel_pct,1.3054883921385429e-42
Volumrate_Belgia_hourly,6,DK_rel,1.3506345537767131e-42
Volumrate_Belgia_hourly,7,BE,1.9194689124090684e-42
Volumrate_Belgia_hourly,8,UK,7.633078464755008e-40
Volumrate_Belgia_hourly,9,Nominasjoner Frankrike [MSM3],9.672447387171012e-32
Volumrate_Belgia_hourly,10,Nominasjoner Tyskland [MSM3],1.200058698763696e-31
Volumrate_Belgia_hourly,11,BE_rel,3.432379029111323e-30
Volumrate_Belgia_hourly,12,BE_rel_pct,3.741491545753687e-30
Volumrate_Belgia_hourly,13,rain (mm)_germany_x,1.789025605882708e-22
Volumrate_Belgia_hourly,14,Nominasjoner Easington [MSM3],9.008336537575188e-22
Volumrate_Belgia_hourly,15,UK_rel_pct,3.848077759793555e-15
Volumrate_Belgia_hourly,16,UK_rel,3.931265871822034e-15
Volumrate_Belgia_hourly,17,FR,6.4018105003052904e-15
Volumrate_Belgia_hourly,18,rain (mm)_dunkerque_x,3.899325206855785e-11
Volumrate_Belgia_hourly,19,Nominasjoner St. Fergus [MSM3],1.5653099400979182e-10
Volumrate_Belgia_hourly,20,Mean,1.6132829595169164e-10
Volumrate_Belgia_hourly,21,dow_cos,6.593409341502794e-07
Volumrate_Belgia_hourly,22,rain (mm)_easington_y,5.073637557456616e-05
Volumrate_Belgia_hourly,23,wind_speed_10m (km/h)_stfergus_x,5.2078799101261384e-05
Volumrate_Belgia_hourly,24,DK,5.5144890226614673e-05
Volumrate_Belgia_hourly,25,month_sin,6.403220879136287e-05
Volumrate_Belgia_hourly,26,FR_rel_pct,0.00010983792314049747
Volumrate_Belgia_hourly,27,FR_rel,0.00011043404854509737
Volumrate_Belgia_hourly,28,is_day ()_germany_y,0.0002675243313336776
Volumrate_Belgia_hourly,29,dew_point_2m (°C)_dunkerque_y,0.00037446417251165765
Volumrate_Belgia_hourly,30,wind_direction_10m (°)_zeebrugge_x,0.00042385262759068326
Volumrate_Belgia_hourly,31,direct_radiation (W/m²)_germany,0.0005219691874720275
Volumrate_Belgia_hourly,32,wind_speed_10m (km/h)_nybro,0.0005733568181177954
Volumrate_Belgia_hourly,33,direct_radiation (W/m²)_zeebrugge_x,0.0007186356263249326
Volumrate_Belgia_hourly,34,wind_direction_10m (°)_germany_y,0.0007750791889888627
Volumrate_Belgia_hourly,35,is_day ()_dunkerque_y,0.0008049302125302983
Volumrate_Belgia_hourly,36,wind_speed_10m (km/h)_stfergus_y,0.0008358577217389649
Volumrate_Belgia_hourly,37,temperature_2m (°C)_nybro,0.0008865407984058821
Volumrate_Belgia_hourly,38,dow_sin,0.0008872606181384668
Volumrate_Belgia_hourly,39,dew_point_2m (°C)_nybro,0.000973008571160326
Volumrate_Belgia_hourly,40,UK_is_best,0.0011032735912616892
Volumrate_Belgia_hourly,41,dew_point_2m (°C)_zeebrugge_y,0.001281504711296177
Volumrate_Belgia_hourly,42,temperature_2m (°C)_dunkerque_x,0.0013559754844002113
Volumrate_Belgia_hourly,43,apparent_temperature (°C)_zeebrugge_y,0.0014420448639269618
Volumrate_Belgia_hourly,44,shortwave_radiation (W/m²)_germany,0.0017602394126827767
Volumrate_Belgia_hourly,45,temperature_2m (°C)_zeebrugge_y,0.0018666814315073804
