Target,Rank,Feature,p-value
Volumrate_Belgia_hourly,1,Nominasjoner Belgia [MSM3],0.0
Volumrate_Belgia_hourly,2,rain (mm)_stfergus_y,1.3586201313032037e-54
Volumrate_Belgia_hourly,3,BE,3.4992351505409342e-37
Volumrate_Belgia_hourly,4,Nominasjoner Easington [MSM3],9.801336072386024e-36
Volumrate_Belgia_hourly,5,UK,1.6400735616622725e-32
Volumrate_Belgia_hourly,6,DE_rel,3.4661344300655677e-31
Volumrate_Belgia_hourly,7,DE_rel_pct,3.6469990937057975e-31
Volumrate_Belgia_hourly,8,Nominasjoner Tyskland [MSM3],3.7503827064249835e-30
Volumrate_Belgia_hourly,9,DK_rel_pct,7.91441229715063e-29
Volumrate_Belgia_hourly,10,DK_rel,8.068814024413336e-29
Volumrate_Belgia_hourly,11,rain (mm)_germany_x,4.554774737749989e-20
Volumrate_Belgia_hourly,12,FR,2.4925345666708626e-19
Volumrate_Belgia_hourly,13,BE_rel,4.005549855839836e-15
Volumrate_Belgia_hourly,14,BE_rel_pct,4.254266339191813e-15
Volumrate_Belgia_hourly,15,rain (mm)_dunkerque_x,7.687918549997688e-14
Volumrate_Belgia_hourly,16,Mean,7.576640446052645e-13
Volumrate_Belgia_hourly,17,UK_rel_pct,3.5199692215083184e-09
Volumrate_Belgia_hourly,18,UK_rel,3.5649414175427306e-09
Volumrate_Belgia_hourly,19,Nominasjoner Danmark [MSM3],6.5300124131461286e-09
Volumrate_Belgia_hourly,20,Nominasjoner St. Fergus [MSM3],6.820045541565476e-09
Volumrate_Belgia_hourly,21,rain (mm)_easington_y,2.8746235735932953e-08
Volumrate_Belgia_hourly,22,wind_direction_10m (°)_dunkerque_x,4.988366583164797e-06
Volumrate_Belgia_hourly,23,DE_is_best,7.678991111283062e-06
Volumrate_Belgia_hourly,24,direct_radiation (W/m²)_stfergus_y,7.875311412679513e-06
Volumrate_Belgia_hourly,25,wind_direction_10m (°)_zeebrugge_x,8.106299405644468e-06
Volumrate_Belgia_hourly,26,wind_speed_10m (km/h)_stfergus_x,1.4338546885315798e-05
