Target,Rank,Feature,p-value
Volumrate_Easington_hourly,1,Nominasjoner Easington [MSM3],0.0
Volumrate_Easington_hourly,2,is_day ()_germany_y,1.3936976650010297e-24
Volumrate_Easington_hourly,3,is_day ()_stfergus_x,1.523133883589279e-24
Volumrate_Easington_hourly,4,is_day ()_germany_x,3.4602758484348095e-24
Volumrate_Easington_hourly,5,is_day ()_germany,3.5225245736483855e-24
Volumrate_Easington_hourly,6,is_day ()_nybro,4.012863084234575e-23
Volumrate_Easington_hourly,7,UK_rel,6.606312433278774e-23
Volumrate_Easington_hourly,8,UK_rel_pct,6.748783032750815e-23
Volumrate_Easington_hourly,9,is_day ()_zeebrugge_y,7.14572900016332e-22
Volumrate_Easington_hourly,10,is_day ()_easington_y,9.63803524929203e-22
Volumrate_Easington_hourly,11,is_day ()_zeebrugge_x,1.183538303617508e-21
Volumrate_Easington_hourly,12,is_day ()_dunkerque_y,1.6576563975901086e-21
Volumrate_Easington_hourly,13,is_day ()_stfergus_y,2.163457134344884e-21
Volumrate_Easington_hourly,14,is_day ()_dunkerque_x,6.158061060316074e-21
Volumrate_Easington_hourly,15,is_day ()_easington_x,7.098116702981539e-21
Volumrate_Easington_hourly,16,apparent_temperature (°C)_dunkerque_y,8.096620606859817e-20
Volumrate_Easington_hourly,17,temperature_2m (°C)_dunkerque_y,9.131248173826344e-20
Volumrate_Easington_hourly,18,apparent_temperature (°C)_zeebrugge_y,8.327398751016854e-19
Volumrate_Easington_hourly,19,temperature_2m (°C)_nybro,2.998809987519506e-18
Volumrate_Easington_hourly,20,apparent_temperature (°C)_zeebrugge_x,3.266180663065196e-18
Volumrate_Easington_hourly,21,temperature_2m (°C)_easington_x,3.335625217246731e-18
Volumrate_Easington_hourly,22,temperature_2m (°C)_zeebrugge_y,3.483290473879288e-18
Volumrate_Easington_hourly,23,DK_rel,6.255662024394617e-18
Volumrate_Easington_hourly,24,DK_rel_pct,6.61778744445251e-18
Volumrate_Easington_hourly,25,apparent_temperature (°C)_dunkerque_x,8.051853228265988e-18
Volumrate_Easington_hourly,26,apparent_temperature (°C)_easington_x,1.107306838782081e-17
Volumrate_Easington_hourly,27,temperature_2m (°C)_zeebrugge_x,2.0205229956312305e-17
