Target,Rank,Feature,p-value
Volumrate_Easington_hourly,1,Nominasjoner Easington [MSM3],0.0
Volumrate_Easington_hourly,2,DK_rel,1.8549991895286138e-27
Volumrate_Easington_hourly,3,DK_rel_pct,2.0061383556110545e-27
Volumrate_Easington_hourly,4,Nominasjoner Belgia [MSM3],1.3295297444404221e-25
Volumrate_Easington_hourly,5,UK_rel,4.387443270546842e-20
Volumrate_Easington_hourly,6,UK_rel_pct,4.471763380975486e-20
Volumrate_Easington_hourly,7,DE_rel_pct,4.0564315980728327e-19
Volumrate_Easington_hourly,8,DE_rel,4.0724182254739547e-19
Volumrate_Easington_hourly,9,is_holiday,4.6510630124890176e-11
Volumrate_Easington_hourly,10,shortwave_radiation (W/m²)_germany_y,8.503476867971143e-09
Volumrate_Easington_hourly,11,BE_is_best,4.466090358957438e-08
Volumrate_Easington_hourly,12,is_day ()_easington_y,5.055141533760169e-08
Volumrate_Easington_hourly,13,shortwave_radiation (W/m²)_dunkerque_y,8.203196194603872e-08
Volumrate_Easington_hourly,14,Nominasjoner Frankrike [MSM3],1.0208765848096872e-07
Volumrate_Easington_hourly,15,month_cos,4.713856267678813e-07
Volumrate_Easington_hourly,16,shortwave_radiation (W/m²)_zeebrugge_y,4.8720787132605e-07
Volumrate_Easington_hourly,17,cloud_cover (%)_stfergus_y,6.861679503941848e-07
Volumrate_Easington_hourly,18,rain (mm)_stfergus_y,8.866428980889831e-07
Volumrate_Easington_hourly,19,Nominasjoner Tyskland [MSM3],9.314686381955598e-07
Volumrate_Easington_hourly,20,shortwave_radiation (W/m²)_nybro,1.3705206418128438e-06
Volumrate_Easington_hourly,21,dew_point_2m (°C)_dunkerque_x,1.9516681330255865e-06
Volumrate_Easington_hourly,22,wind_speed_10m (km/h)_easington_x,2.84843065359302e-06
Volumrate_Easington_hourly,23,direct_radiation (W/m²)_germany_y,3.239576778596086e-06
Volumrate_Easington_hourly,24,apparent_temperature (°C)_dunkerque_x,3.321997131133474e-06
Volumrate_Easington_hourly,25,pressure_msl (hPa)_germany_y,4.308386567802517e-06
Volumrate_Easington_hourly,26,wind_speed_10m (km/h)_easington_y,4.879823481375123e-06
Volumrate_Easington_hourly,27,wind_speed_10m (km/h)_dunkerque_y,5.457882290290038e-06
