Target,Rank,Feature,p-value
Volumrate_Frankrike_hourly,1,Nominasjoner Frankrike [MSM3],0.0
Volumrate_Frankrike_hourly,2,rain (mm)_easington_y,6.144462631440723e-96
Volumrate_Frankrike_hourly,3,Nominasjoner Tyskland [MSM3],7.72487905193097e-83
Volumrate_Frankrike_hourly,4,rain (mm)_germany,8.729203713990218e-33
Volumrate_Frankrike_hourly,5,is_holiday,3.3168778299197295e-28
Volumrate_Frankrike_hourly,6,Nominasjoner St. Fergus [MSM3],2.466012891610338e-18
Volumrate_Frankrike_hourly,7,shortwave_radiation (W/m²)_dunkerque_y,9.60892726659759e-18
Volumrate_Frankrike_hourly,8,direct_radiation (W/m²)_dunkerque_y,5.187564080384673e-13
Volumrate_Frankrike_hourly,9,is_day ()_easington_x,6.9202382211470264e-12
Volumrate_Frankrike_hourly,10,is_day ()_nybro,3.0817220873828624e-11
Volumrate_Frankrike_hourly,11,Nominasjoner Belgia [MSM3],1.0392047447472305e-10
Volumrate_Frankrike_hourly,12,hour_sin,5.20757844942861e-10
Volumrate_Frankrike_hourly,13,direct_radiation (W/m²)_germany,1.863159001072118e-09
Volumrate_Frankrike_hourly,14,shortwave_radiation (W/m²)_germany_y,2.0475574601210874e-09
Volumrate_Frankrike_hourly,15,wind_direction_10m (°)_stfergus_x,3.0083065601257946e-09
Volumrate_Frankrike_hourly,16,is_day ()_easington_y,3.204280322942351e-09
Volumrate_Frankrike_hourly,17,is_day ()_stfergus_x,4.517907223443082e-09
Volumrate_Frankrike_hourly,18,shortwave_radiation (W/m²)_germany_x,5.868019020500275e-09
Volumrate_Frankrike_hourly,19,is_day ()_dunkerque_x,1.9165046373366913e-08
Volumrate_Frankrike_hourly,20,hour_cos,2.225553706199545e-08
Volumrate_Frankrike_hourly,21,pressure_msl (hPa)_germany,4.141433803952043e-08
Volumrate_Frankrike_hourly,22,shortwave_radiation (W/m²)_germany,6.872641723048645e-08
Volumrate_Frankrike_hourly,23,shortwave_radiation (W/m²)_easington_x,8.37930799230471e-08
Volumrate_Frankrike_hourly,24,relative_humidity_2m (%)_dunkerque_y,9.449681226136027e-08
Volumrate_Frankrike_hourly,25,temperature_2m (°C)_dunkerque_y,3.387215656095952e-07
Volumrate_Frankrike_hourly,26,is_day ()_stfergus_y,4.337321144607298e-07
Volumrate_Frankrike_hourly,27,temperature_2m (°C)_germany_x,5.114169785317068e-07
Volumrate_Frankrike_hourly,28,shortwave_radiation (W/m²)_stfergus_x,1.1946059270579082e-06
Volumrate_Frankrike_hourly,29,pressure_msl (hPa)_dunkerque_y,1.3290783902122526e-06
Volumrate_Frankrike_hourly,30,is_day ()_dunkerque_y,1.3295787526591385e-06
Volumrate_Frankrike_hourly,31,shortwave_radiation (W/m²)_zeebrugge_y,1.443257184268469e-06
Volumrate_Frankrike_hourly,32,is_day ()_germany_x,1.453622663701103e-06
Volumrate_Frankrike_hourly,33,is_day ()_germany,1.999427878792312e-06
Volumrate_Frankrike_hourly,34,apparent_temperature (°C)_zeebrugge_y,2.139865440711242e-06
Volumrate_Frankrike_hourly,35,apparent_temperature (°C)_dunkerque_y,2.170093085331788e-06
Volumrate_Frankrike_hourly,36,is_day ()_zeebrugge_x,2.4150747262788805e-06
Volumrate_Frankrike_hourly,37,is_day ()_germany_y,3.381875663251186e-06
Volumrate_Frankrike_hourly,38,rain (mm)_zeebrugge_x,5.036393905912604e-06
Volumrate_Frankrike_hourly,39,is_day ()_zeebrugge_y,5.165745739857254e-06
Volumrate_Frankrike_hourly,40,pressure_msl (hPa)_easington_y,6.284266764028709e-06
Volumrate_Frankrike_hourly,41,rain (mm)_stfergus_y,1.0586534705216919e-05
Volumrate_Frankrike_hourly,42,apparent_temperature (°C)_germany_x,1.13045373814932e-05
Volumrate_Frankrike_hourly,43,direct_radiation (W/m²)_germany_y,1.1759305271407816e-05
Volumrate_Frankrike_hourly,44,direct_radiation (W/m²)_stfergus_y,1.2465328452062088e-05
Volumrate_Frankrike_hourly,45,apparent_temperature (°C)_stfergus_y,1.4637205649381161e-05
Volumrate_Frankrike_hourly,46,shortwave_radiation (W/m²)_stfergus_y,1.7199701382490097e-05
Volumrate_Frankrike_hourly,47,Nominasjoner Easington [MSM3],2.8647097104053895e-05
Volumrate_Frankrike_hourly,48,pressure_msl (hPa)_zeebrugge_y,2.947301152107289e-05
Volumrate_Frankrike_hourly,49,temperature_2m (°C)_easington_x,3.4767297852436706e-05
Volumrate_Frankrike_hourly,50,temperature_2m (°C)_zeebrugge_x,3.9941936083208915e-05
Volumrate_Frankrike_hourly,51,temperature_2m (°C)_stfergus_y,5.270109683212263e-05
Volumrate_Frankrike_hourly,52,pressure_msl (hPa)_easington_x,5.270367364712922e-05
Volumrate_Frankrike_hourly,53,cloud_cover (%)_stfergus_x,5.7000930763417704e-05
