Target,Rank,Feature,p-value
Volumrate_Frankrike_hourly,1,Nominasjoner Frankrike [MSM3],0.0
Volumrate_Frankrike_hourly,2,rain (mm)_easington_y,1.1271922637094212e-89
Volumrate_Frankrike_hourly,3,Nominasjoner Tyskland [MSM3],1.0816057205024488e-80
Volumrate_Frankrike_hourly,4,is_holiday,5.664355751298054e-37
Volumrate_Frankrike_hourly,5,rain (mm)_germany,1.3721980867719134e-28
Volumrate_Frankrike_hourly,6,Nominasjoner St. Fergus [MSM3],1.9978434234559953e-19
Volumrate_Frankrike_hourly,7,shortwave_radiation (W/m²)_dunkerque_y,2.425402324063892e-16
Volumrate_Frankrike_hourly,8,rain (mm)_stfergus_y,1.318854869267173e-12
Volumrate_Frankrike_hourly,9,shortwave_radiation (W/m²)_easington_x,4.305258806778752e-12
Volumrate_Frankrike_hourly,10,direct_radiation (W/m²)_stfergus_y,1.664964474540246e-11
Volumrate_Frankrike_hourly,11,direct_radiation (W/m²)_dunkerque_y,1.8655702450522257e-11
Volumrate_Frankrike_hourly,12,wind_direction_10m (°)_stfergus_x,1.6319900709526307e-10
Volumrate_Frankrike_hourly,13,rain (mm)_zeebrugge_x,9.798850614963297e-10
Volumrate_Frankrike_hourly,14,shortwave_radiation (W/m²)_stfergus_y,2.6443311384754232e-09
Volumrate_Frankrike_hourly,15,rain (mm)_zeebrugge_y,2.761443689431547e-08
Volumrate_Frankrike_hourly,16,direct_radiation (W/m²)_easington_x,1.479098068085009e-07
Volumrate_Frankrike_hourly,17,wind_direction_10m (°)_easington_y,1.924109054173265e-07
Volumrate_Frankrike_hourly,18,apparent_temperature (°C)_zeebrugge_y,2.0166166908815923e-07
Volumrate_Frankrike_hourly,19,wind_speed_10m (km/h)_zeebrugge_y,2.8538115806355293e-07
Volumrate_Frankrike_hourly,20,apparent_temperature (°C)_germany_x,6.45542747574919e-07
Volumrate_Frankrike_hourly,21,wind_speed_10m (km/h)_zeebrugge_x,8.92380057444084e-07
Volumrate_Frankrike_hourly,22,shortwave_radiation (W/m²)_stfergus_x,1.1202646460966403e-06
Volumrate_Frankrike_hourly,23,BE_rel,2.051024663915133e-06
Volumrate_Frankrike_hourly,24,BE_rel_pct,2.0924215502067337e-06
Volumrate_Frankrike_hourly,25,wind_direction_10m (°)_germany_y,2.543680676172399e-06
Volumrate_Frankrike_hourly,26,pressure_msl (hPa)_germany,4.769371815896976e-06
Volumrate_Frankrike_hourly,27,rain (mm)_nybro,4.776103325297688e-06
Volumrate_Frankrike_hourly,28,wind_speed_10m (km/h)_germany_y,6.53592935594622e-06
Volumrate_Frankrike_hourly,29,shortwave_radiation (W/m²)_germany_y,7.433395119190209e-06
Volumrate_Frankrike_hourly,30,temperature_2m (°C)_zeebrugge_x,1.029149731608889e-05
Volumrate_Frankrike_hourly,31,wind_direction_10m (°)_germany_x,1.2575574122004302e-05
Volumrate_Frankrike_hourly,32,shortwave_radiation (W/m²)_zeebrugge_x,1.3550332840870512e-05
Volumrate_Frankrike_hourly,33,is_day ()_nybro,2.9995325468493133e-05
Volumrate_Frankrike_hourly,34,apparent_temperature (°C)_germany_y,3.963850983958095e-05
Volumrate_Frankrike_hourly,35,cloud_cover (%)_dunkerque_y,5.049586341682909e-05
Volumrate_Frankrike_hourly,36,apparent_temperature (°C)_stfergus_y,5.211311805690957e-05
Volumrate_Frankrike_hourly,37,temperature_2m (°C)_germany_x,6.771483831416048e-05
Volumrate_Frankrike_hourly,38,temperature_2m (°C)_stfergus_x,8.356449760093438e-05
Volumrate_Frankrike_hourly,39,apparent_temperature (°C)_dunkerque_y,9.358614286745954e-05
Volumrate_Frankrike_hourly,40,UK_rel_pct,9.433408478106706e-05
Volumrate_Frankrike_hourly,41,UK_rel,9.466634802178727e-05
Volumrate_Frankrike_hourly,42,wind_direction_10m (°)_stfergus_y,9.584331188510103e-05
Volumrate_Frankrike_hourly,43,direct_radiation (W/m²)_stfergus_x,0.00011229328623874738
Volumrate_Frankrike_hourly,44,wind_direction_10m (°)_nybro,0.00012174920098849992
Volumrate_Frankrike_hourly,45,temperature_2m (°C)_dunkerque_y,0.00013161968329478978
Volumrate_Frankrike_hourly,46,apparent_temperature (°C)_zeebrugge_x,0.00014511292381748993
Volumrate_Frankrike_hourly,47,is_day ()_dunkerque_y,0.0001466156237981188
Volumrate_Frankrike_hourly,48,cloud_cover (%)_stfergus_x,0.0001489646516873437
Volumrate_Frankrike_hourly,49,UK,0.00014919408784231587
Volumrate_Frankrike_hourly,50,direct_radiation (W/m²)_germany,0.00018282535440596748
Volumrate_Frankrike_hourly,51,shortwave_radiation (W/m²)_germany_x,0.0002599356187820937
Volumrate_Frankrike_hourly,52,direct_radiation (W/m²)_easington_y,0.00030040334619492394
Volumrate_Frankrike_hourly,53,wind_speed_10m (km/h)_dunkerque_x,0.0003861043017533901
Volumrate_Frankrike_hourly,54,wind_direction_10m (°)_dunkerque_y,0.00039987255045390897
Volumrate_Frankrike_hourly,55,rain (mm)_dunkerque_x,0.0004617008011007128
Volumrate_Frankrike_hourly,56,direct_radiation (W/m²)_germany_y,0.0005221492252887649
Volumrate_Frankrike_hourly,57,wind_speed_10m (km/h)_stfergus_x,0.000542484135092546
Volumrate_Frankrike_hourly,58,direct_radiation (W/m²)_zeebrugge_x,0.0005831689535808569
Volumrate_Frankrike_hourly,59,relative_humidity_2m (%)_zeebrugge_x,0.0005832421226700865
Volumrate_Frankrike_hourly,60,relative_humidity_2m (%)_dunkerque_y,0.0007101169020040448
Volumrate_Frankrike_hourly,61,rain (mm)_germany_y,0.0008618668365885108
Volumrate_Frankrike_hourly,62,direct_radiation (W/m²)_germany_x,0.0009161444852184656
Volumrate_Frankrike_hourly,63,BE,0.0009730777401575437
Volumrate_Frankrike_hourly,64,pressure_msl (hPa)_dunkerque_y,0.0010158546495420769
Volumrate_Frankrike_hourly,65,is_day ()_easington_x,0.001052525808152285
Volumrate_Frankrike_hourly,66,rain (mm)_easington_x,0.0012543202604021152
Volumrate_Frankrike_hourly,67,wind_speed_10m (km/h)_easington_y,0.001277712788046586
Volumrate_Frankrike_hourly,68,UK_is_best,0.001664358266347931
Volumrate_Frankrike_hourly,69,direct_radiation (W/m²)_zeebrugge_y,0.0016844578173143552
Volumrate_Frankrike_hourly,70,cloud_cover (%)_germany,0.0017102316345759575
Volumrate_Frankrike_hourly,71,wind_speed_10m (km/h)_easington_x,0.001720037085506445
Volumrate_Frankrike_hourly,72,dew_point_2m (°C)_dunkerque_y,0.0018339142967487869
Volumrate_Frankrike_hourly,73,temperature_2m (°C)_zeebrugge_y,0.0018591843010602339
Volumrate_Frankrike_hourly,74,temperature_2m (°C)_stfergus_y,0.001951539749771461
Volumrate_Frankrike_hourly,75,pressure_msl (hPa)_easington_x,0.0022501874932853326
Volumrate_Frankrike_hourly,76,apparent_temperature (°C)_nybro,0.0023581345016751008
Volumrate_Frankrike_hourly,77,pressure_msl (hPa)_zeebrugge_x,0.0024021734903988366
Volumrate_Frankrike_hourly,78,dew_point_2m (°C)_germany_x,0.0024125750604466296
Volumrate_Frankrike_hourly,79,cloud_cover (%)_zeebrugge_x,0.002418113262797761
Volumrate_Frankrike_hourly,80,cloud_cover (%)_zeebrugge_y,0.0025289896181585995
Volumrate_Frankrike_hourly,81,wind_speed_10m (km/h)_dunkerque_y,0.0025324826638452856
