Target,Rank,Feature,p-value
Volumrate_Tyskland_hourly,1,Nominasjoner Tyskland [MSM3],0.0
Volumrate_Tyskland_hourly,2,Nominasjoner Frankrike [MSM3],2.265487212843072e-104
Volumrate_Tyskland_hourly,3,Nominasjoner St. Fergus [MSM3],3.082654125855621e-58
Volumrate_Tyskland_hourly,4,is_holiday,2.7355233469131787e-19
Volumrate_Tyskland_hourly,5,dow_cos,4.805769802168245e-19
Volumrate_Tyskland_hourly,6,dow_sin,5.920431441232239e-18
Volumrate_Tyskland_hourly,7,Nominasjoner Danmark [MSM3],4.564302512758694e-16
Volumrate_Tyskland_hourly,8,temperature_2m (°C)_germany_x,1.0601038255846827e-15
Volumrate_Tyskland_hourly,9,temperature_2m (°C)_germany_y,5.231942342694925e-13
Volumrate_Tyskland_hourly,10,Nominasjoner Belgia [MSM3],1.2380630674262055e-12
Volumrate_Tyskland_hourly,11,UK_is_best,1.3800411116186058e-12
Volumrate_Tyskland_hourly,12,rain (mm)_stfergus_y,1.4406873256544651e-11
Volumrate_Tyskland_hourly,13,UK_rel,2.2271276155053197e-11
Volumrate_Tyskland_hourly,14,UK_rel_pct,2.2294515324475544e-11
Volumrate_Tyskland_hourly,15,shortwave_radiation (W/m²)_dunkerque_y,2.4512539194545474e-11
Volumrate_Tyskland_hourly,16,DE_rel_pct,4.8610404474899726e-11
Volumrate_Tyskland_hourly,17,DE_rel,4.8736691835188536e-11
Volumrate_Tyskland_hourly,18,shortwave_radiation (W/m²)_stfergus_x,2.988673433275446e-10
Volumrate_Tyskland_hourly,19,apparent_temperature (°C)_germany_x,3.7176101159406515e-10
Volumrate_Tyskland_hourly,20,DE,5.569652972722158e-10
Volumrate_Tyskland_hourly,21,rain (mm)_zeebrugge_y,6.486319230106612e-10
Volumrate_Tyskland_hourly,22,BE,7.00392176666254e-10
Volumrate_Tyskland_hourly,23,pressure_msl (hPa)_dunkerque_y,7.102861763194137e-10
Volumrate_Tyskland_hourly,24,FR,7.588969440434864e-10
Volumrate_Tyskland_hourly,25,DK,8.730373267890586e-10
Volumrate_Tyskland_hourly,26,Mean,1.209516082716439e-09
Volumrate_Tyskland_hourly,27,direct_radiation (W/m²)_dunkerque_y,1.8894909426216024e-09
Volumrate_Tyskland_hourly,28,direct_radiation (W/m²)_stfergus_x,4.253303967639123e-09
Volumrate_Tyskland_hourly,29,apparent_temperature (°C)_germany_y,4.555298829776753e-09
Volumrate_Tyskland_hourly,30,Nominasjoner Easington [MSM3],5.1399633184779715e-09
