Target,Rank,Feature,p-value
Volumrate_Tyskland_hourly,1,Nominasjoner Tyskland [MSM3],0.0
Volumrate_Tyskland_hourly,2,Nominasjoner Frankrike [MSM3],1.5536372581704332e-76
Volumrate_Tyskland_hourly,3,Nominasjoner St. Fergus [MSM3],1.0133301415360507e-65
Volumrate_Tyskland_hourly,4,is_holiday,4.8731775703580753e-32
Volumrate_Tyskland_hourly,5,Nominasjoner Danmark [MSM3],1.1837406305153275e-19
Volumrate_Tyskland_hourly,6,Nominasjoner Belgia [MSM3],4.640387444381815e-19
Volumrate_Tyskland_hourly,7,dow_cos,7.666882905532186e-19
Volumrate_Tyskland_hourly,8,dow_sin,3.942991173378847e-17
Volumrate_Tyskland_hourly,9,rain (mm)_stfergus_y,5.2416493121047905e-17
Volumrate_Tyskland_hourly,10,UK_is_best,4.594856057010001e-13
Volumrate_Tyskland_hourly,11,shortwave_radiation (W/m²)_stfergus_x,2.7232180956564873e-11
Volumrate_Tyskland_hourly,12,direct_radiation (W/m²)_stfergus_x,5.043793376190147e-11
Volumrate_Tyskland_hourly,13,rain (mm)_germany_x,8.673024025201821e-10
Volumrate_Tyskland_hourly,14,rain (mm)_zeebrugge_y,1.8275556064580618e-09
Volumrate_Tyskland_hourly,15,temperature_2m (°C)_germany_x,6.106102759541684e-09
Volumrate_Tyskland_hourly,16,apparent_temperature (°C)_germany_x,2.560819066963152e-08
Volumrate_Tyskland_hourly,17,shortwave_radiation (W/m²)_easington_x,5.053070607455163e-08
Volumrate_Tyskland_hourly,18,relative_humidity_2m (%)_germany_y,5.847282398272039e-08
Volumrate_Tyskland_hourly,19,temperature_2m (°C)_germany_y,1.1066831149656533e-07
Volumrate_Tyskland_hourly,20,rain (mm)_dunkerque_x,1.6821490249032783e-07
Volumrate_Tyskland_hourly,21,dew_point_2m (°C)_germany_y,1.251048930942029e-06
Volumrate_Tyskland_hourly,22,direct_radiation (W/m²)_dunkerque_y,9.283499114403577e-06
Volumrate_Tyskland_hourly,23,rain (mm)_germany_y,9.365971248958744e-06
