Target,Rank,Feature,p-value,F-statistic,Best Lag
Volumrate_Tyskland_hourly,1,Nominasjoner Tyskland [MSM3],0.0,564.5370326290094,3
Volumrate_Tyskland_hourly,2,Nominasjoner Frankrike [MSM3],9.704473424684356e-76,10.558945114633255,47
Volumrate_Tyskland_hourly,3,Nominasjoner St. Fergus [MSM3],2.576415135488558e-65,19.166171649515654,19
Volumrate_Tyskland_hourly,4,is_holiday,8.268636506394478e-32,5.934068047654986,43
Volumrate_Tyskland_hourly,5,Nominasjoner Danmark [MSM3],1.36520744764697e-19,7.404528001568773,18
Volumrate_Tyskland_hourly,6,Nominasjoner Belgia [MSM3],5.531690014691766e-19,5.831373866412474,25
Volumrate_Tyskland_hourly,7,dow_cos,9.115709415263394e-19,5.783857833463686,25
Volumrate_Tyskland_hourly,8,dow_sin,4.74210091687107e-17,4.7552369573647715,31
Volumrate_Tyskland_hourly,9,rain (mm)_stfergus_y,5.511626413770104e-17,20.610517510170393,4
Volumrate_Tyskland_hourly,10,UK_is_best,5.387955278684031e-13,3.639604146347488,37
Volumrate_Tyskland_hourly,11,shortwave_radiation (W/m²)_stfergus_x,2.923468705246966e-11,4.757563951919734,19
Volumrate_Tyskland_hourly,12,direct_radiation (W/m²)_stfergus_x,5.40313757505282e-11,4.678078903381325,19
Volumrate_Tyskland_hourly,13,rain (mm)_germany_x,8.768101334337087e-10,37.59970503676099,1
Volumrate_Tyskland_hourly,14,rain (mm)_zeebrugge_y,1.9567506328680403e-09,3.8018571693905305,23
Volumrate_Tyskland_hourly,15,temperature_2m (°C)_germany_x,6.508591188569739e-09,3.6644831681850434,23
Volumrate_Tyskland_hourly,16,apparent_temperature (°C)_germany_x,2.7154250997424395e-08,3.499126540682714,23
Volumrate_Tyskland_hourly,17,shortwave_radiation (W/m²)_easington_x,5.279974712490822e-08,3.8693231567751485,18
Volumrate_Tyskland_hourly,18,relative_humidity_2m (%)_germany_y,6.107228854411696e-08,3.848487504146521,18
Volumrate_Tyskland_hourly,19,temperature_2m (°C)_germany_y,1.1645923831810906e-07,3.399548829437185,22
Volumrate_Tyskland_hourly,20,rain (mm)_dunkerque_x,1.7718310895385188e-07,3.2780350515938936,23
Volumrate_Tyskland_hourly,21,dew_point_2m (°C)_germany_y,1.295299085470243e-06,3.403322626213979,18
Volumrate_Tyskland_hourly,22,rain (mm)_germany_y,9.59527300200684e-06,3.375108975731231,15
Volumrate_Tyskland_hourly,23,direct_radiation (W/m²)_dunkerque_y,9.664043297522327e-06,2.738252481721215,24
